month,total,pakistan_west,china_east,us_trade,gulf_energy,generation
198210,264210,0.023466182203550207,0.003406381287612127,0.0,0.004163354907081488,1.0
198211,263250,0.03380816714150048,0.0030389363722697054,0.0007597340930674264,0.0,1.0
198212,256814,0.03270849720030839,0.0,0.0,0.004672642457186914,1.0
198301,257997,0.0,0.004651216874614821,0.0,0.0,1.0
198302,260002,0.0023076745563495667,0.0053845739648156555,0.0,0.0003846124260582611,1.0
198303,289458,0.0058730454850099145,0.0034547326382411265,0.0,0.0929323079686863,1.0
198304,290511,0.0,0.002753768359889987,0.0,0.0,1.0
198305,294624,0.008145975887911373,0.0027153252959704575,0.0,0.0,1.0
198306,285996,0.01608414103693758,0.002097931439600554,0.0,0.004195862879201108,1.0
198307,282388,0.002832981571454878,0.0,0.0,0.0,1.0
198308,311028,0.01253906400709904,0.0,0.0,0.00900240492817367,1.0
198309,328475,0.008524240809802876,0.0036532460613440897,0.0,0.0,1.0
198310,297157,0.0020191346661865613,0.021873958883687747,0.0,0.0,1.0
198311,325069,0.0018457619766880263,0.016304230794077564,0.0,0.00861355589121079,1.0
198312,290221,0.005168475058662192,0.009303255105591945,0.0,0.0,1.0
198401,304867,0.03968943834524563,0.0,0.0,0.010496380388825291,1.0
198402,301181,0.004648367592909247,0.0,0.0,0.0,1.0
198403,321561,0.013061285417074832,0.007463591666899904,0.0,0.0024878638889666346,1.0
198404,326454,0.014397127926139671,0.0,0.0,0.012865518572295023,1.0
198405,319610,0.0206501673915084,0.005631863834047746,0.0,0.0,1.0
198406,309810,0.006132791065491753,0.0,0.0,0.0,1.0
198407,288412,0.05894345588949142,0.0013869048444586217,0.0,0.010055060122325007,1.0
198408,276275,0.011220704008686997,0.0,0.0,0.017373993303773413,1.0
198409,305104,0.0016387854633174261,0.002622056741307882,0.0,0.0,1.0
198410,314997,0.035555894183119205,0.00793658352301768,0.0,0.0031746334092070715,1.0
198411,298003,0.03187887370261373,0.008389177290161507,0.0,0.0,1.0
198412,268919,0.02454270616802829,0.0,0.001115577553092195,0.0,1.0
198501,292404,0.02770139943366028,0.0,0.0034199258560074415,0.0,1.0
198502,285276,0.0059591413227891585,0.0,0.0,0.0,1.0
198503,334763,0.03405394264001697,0.00806540746737244,0.0,0.03823600577124712,1.0
198504,326205,0.0383194616882022,0.0,0.0,0.014714673288269647,1.0
198505,355833,0.004777522039833293,0.008149890538539147,0.0,0.0,1.0
198506,364249,0.015648635960565437,0.004941674513862769,0.0,0.009608811554733164,1.0
198507,343521,0.07190244555645797,0.0,0.002037721129130388,0.008733090553415949,1.0
198508,357148,0.022119681476586738,0.0,0.0,0.00895987097785792,1.0
198509,364866,0.012333294963082336,0.004933317985232935,0.0,0.006577757313643914,1.0
198510,403836,0.025753028457096445,0.00470488019889262,0.0,0.006190631840648184,1.0
198511,362941,0.03361427890483577,0.003306322515229748,0.0019286881338840198,0.0,1.0
198512,350238,0.04968050297226458,0.0,0.0,0.0,1.0
198601,366730,0.03681182341231969,0.0,0.0,0.002726801734245903,1.0
198602,330182,0.010903077696543119,0.00060572653869684,0.0,0.0,1.0
198603,369807,0.013520566133145128,0.0,0.004056169839943538,0.0,1.0
198604,406655,0.007869078211260159,0.0004918173882037599,0.0,0.0034427217174263195,1.0
198605,369227,0.0,0.0,0.0,0.0,1.0
198606,341193,0.008792677458212802,0.006741052717963147,0.0,0.0,1.0
198607,375766,0.009314307308271638,0.006919199714716074,0.0,0.0,1.0
198608,380907,0.008663532043254653,0.004988094206722376,0.0,0.035441721995132666,1.0
198609,395151,0.04403379973731561,0.004049085033316378,0.0,0.0,1.0
198610,431752,0.013665252274453855,0.002779373343956716,0.001389686671978358,0.007411662250551242,1.0
