date,chokepoint,n_total,n_tanker,n_cargo,capacity
2019-04-11,suez,58,16,42,2385009
2019-04-12,bab_el_mandeb,55,20,35,2368892
2019-04-12,hormuz,60,40,20,1748674
2019-04-12,malacca,179,67,112,7422043
2019-04-12,suez,42,10,32,2896666
2019-04-13,bab_el_mandeb,63,12,51,3256638
2019-04-13,hormuz,73,44,29,2014012
2019-04-13,malacca,139,54,85,7414899
2019-04-13,suez,42,13,29,1867169
2019-04-14,bab_el_mandeb,64,19,45,3031913
2019-04-14,hormuz,47,27,20,1517596
2019-04-14,malacca,203,79,124,7439791
2019-04-14,suez,50,17,33,2790655
2019-04-15,bab_el_mandeb,41,15,26,2655420
2019-04-15,hormuz,89,49,40,2992304
2019-04-15,malacca,183,68,115,8149362
2019-04-15,suez,50,13,37,2058834
2019-04-16,bab_el_mandeb,48,21,27,2057400
2019-04-16,hormuz,81,43,38,3253972
2019-04-16,malacca,189,75,114,6338177
2019-04-16,suez,58,14,44,2220727
2019-04-17,bab_el_mandeb,46,14,32,2371433
2019-04-17,hormuz,89,48,41,4839129
2019-04-17,malacca,160,57,103,6179247
2019-04-17,suez,55,14,41,3581901
2019-04-18,bab_el_mandeb,57,21,36,3030006
2019-04-18,hormuz,68,44,24,3282607
2019-04-18,malacca,157,67,90,4957639
2019-04-18,suez,53,21,32,2567642
2019-04-19,bab_el_mandeb,56,16,40,2179915
2019-04-19,hormuz,100,67,33,4200249
2019-04-19,malacca,138,60,78,5459624
2019-04-19,suez,54,13,41,2835174
2019-04-20,bab_el_mandeb,65,18,47,2922915
2019-04-20,hormuz,96,57,39,3844730
2019-04-20,malacca,177,66,111,7563945
2019-04-20,suez,31,9,22,1610561
2019-04-21,bab_el_mandeb,53,18,35,2361391
2019-04-21,hormuz,91,49,42,2837054
2019-04-21,malacca,186,74,112,7022555
2019-04-21,suez,48,14,34,2088935
2019-04-22,bab_el_mandeb,61,14,47,2839620
2019-04-22,hormuz,96,49,47,4953033
2019-04-22,malacca,173,68,105,6614820
2019-04-22,suez,61,21,40,3005522
2019-04-23,bab_el_mandeb,52,15,37,2364253
2019-04-23,hormuz,58,34,24,2758438
2019-04-23,malacca,193,63,130,6995251
2019-04-23,suez,61,23,38,2518693
2019-04-24,bab_el_mandeb,47,20,27,2258035
2019-04-24,hormuz,72,43,29,2883500
2019-04-24,malacca,174,65,109,7084584
2019-04-24,suez,52,11,41,2443527
2019-04-25,bab_el_mandeb,69,24,45,3046248
2019-04-25,hormuz,75,46,29,1773689
2019-04-25,malacca,168,63,105,6566292
2019-04-25,suez,43,9,34,2093793
2019-04-26,bab_el_mandeb,47,19,28,1952075
2019-04-26,hormuz,75,45,30,3409221
2019-04-26,malacca,165,69,96,6085338
2019-04-26,suez,49,22,27,2190417
2019-04-27,bab_el_mandeb,63,20,43,2983313
2019-04-27,hormuz,106,65,41,4084526
2019-04-27,malacca,180,71,109,6968655
2019-04-27,suez,58,14,44,3087318
2019-04-28,bab_el_mandeb,59,17,42,2450812
2019-04-28,hormuz,91,52,39,4819116
2019-04-28,malacca,169,77,92,8476802
2019-04-28,suez,48,8,40,1645146
2019-04-29,bab_el_mandeb,50,17,33,2384610
2019-04-29,hormuz,103,58,45,4121756
2019-04-29,malacca,163,62,101,6883887
2019-04-29,suez,61,23,38,3129942
2019-04-30,bab_el_mandeb,45,14,31,2239125
2019-04-30,hormuz,70,42,28,2993566
2019-04-30,malacca,173,68,105,6375227
2019-04-30,suez,52,20,32,2284408
2019-05-01,bab_el_mandeb,51,19,32,2489709
2019-05-01,hormuz,63,37,26,1939881
2019-05-01,malacca,165,70,95,6727569
2019-05-01,suez,55,17,38,3254187
2019-05-02,bab_el_mandeb,50,12,38,2389680
2019-05-02,hormuz,104,62,42,4044130
2019-05-02,malacca,162,62,100,7182774
2019-05-02,suez,45,14,31,1763455
2019-05-03,bab_el_mandeb,49,18,31,3007590
2019-05-03,hormuz,99,52,47,3922601
2019-05-03,malacca,156,73,83,6206319
2019-05-03,suez,52,17,35,2866424
2019-05-04,bab_el_mandeb,56,12,44,2781186
2019-05-04,hormuz,76,49,27,5344751
2019-05-04,malacca,187,73,114,6894916
2019-05-04,suez,48,15,33,2225721
2019-05-05,bab_el_mandeb,63,26,37,3414723
2019-05-05,hormuz,62,37,25,3521940
2019-05-05,malacca,162,54,108,5876450
2019-05-05,suez,44,17,27,2038516
2019-05-06,bab_el_mandeb,45,20,25,2207668
2019-05-06,hormuz,78,47,31,3739919
2019-05-06,malacca,149,48,101,5554022
2019-05-06,suez,56,11,45,1829929
2019-05-07,bab_el_mandeb,51,16,35,2448641
2019-05-07,hormuz,81,54,27,2602443
2019-05-07,malacca,168,71,97,6890711
2019-05-07,suez,56,17,39,2878302
2019-05-08,bab_el_mandeb,52,17,35,3239402
2019-05-08,hormuz,103,62,41,4129964
2019-05-08,malacca,145,54,91,5811802
2019-05-08,suez,49,13,36,2932105
2019-05-09,bab_el_mandeb,54,12,42,2308192
2019-05-09,hormuz,72,36,36,2803937
2019-05-09,malacca,163,65,98,6158262
2019-05-09,suez,38,11,27,1979999
2019-05-10,bab_el_mandeb,37,15,22,1987513
2019-05-10,hormuz,73,47,26,2616747
2019-05-10,malacca,165,72,93,6129440
2019-05-10,suez,63,18,45,2867728
2019-05-11,bab_el_mandeb,58,17,41,2961780
2019-05-11,hormuz,77,50,27,2803426
2019-05-11,malacca,165,65,100,4929766
2019-05-11,suez,49,24,25,2665164
2019-05-12,bab_el_mandeb,51,17,34,2476081
2019-05-12,hormuz,75,49,26,3978081
2019-05-12,malacca,205,85,120,7161585
2019-05-12,suez,47,11,36,2094306
2019-05-13,bab_el_mandeb,49,17,32,1745396
2019-05-13,hormuz,84,48,36,3106648
2019-05-13,malacca,178,70,108,6899142
2019-05-13,suez,54,14,40,2256938
2019-05-14,bab_el_mandeb,54,14,40,2401350
2019-05-14,hormuz,53,27,26,2007535
2019-05-14,malacca,173,70,103,5939733
2019-05-14,suez,59,19,40,2308804
2019-05-15,bab_el_mandeb,55,18,37,2958567
2019-05-15,hormuz,82,55,27,3874164
2019-05-15,malacca,185,83,102,7090378
2019-05-15,suez,53,18,35,2677249
2019-05-16,bab_el_mandeb,48,22,26,2348323
2019-05-16,hormuz,73,47,26,3107953
2019-05-16,malacca,161,65,96,7128178
2019-05-16,suez,58,22,36,3093674
2019-05-17,bab_el_mandeb,44,11,33,1685401
2019-05-17,hormuz,101,57,44,3934375
2019-05-17,malacca,162,78,84,5574755
2019-05-17,suez,45,13,32,2483101
2019-05-18,bab_el_mandeb,62,27,35,3324120
2019-05-18,hormuz,73,47,26,3279814
2019-05-18,malacca,162,61,101,6666035
