date,n_global,n_india,n_verbal_conflict,n_material_conflict,n_protest,goldstein_mean,mentions_sum
2017-06-01,211660,8703,1281,1348,233,0.25,79279
2017-06-02,204060,8550,1265,1102,153,0.611,79051
2017-06-03,121443,7032,929,1155,114,0.192,70854
2017-06-04,107107,5759,810,877,81,0.337,58691
2017-06-05,195220,8530,1196,1354,140,0.299,87068
2017-06-06,215836,8637,1476,1377,224,0.047,84694
2017-06-07,225369,9381,1702,1723,289,-0.32,94998
2017-06-08,226102,10994,1653,2077,363,-0.143,113009
2017-06-09,218739,9878,1568,1604,320,0.077,95907
2017-06-10,125123,7478,1356,1279,283,-0.286,69522
2017-06-11,116119,5696,918,854,142,0.142,56954
2017-06-12,184142,8903,1337,1218,172,0.556,89160
2017-06-13,210742,8599,1363,1300,216,0.354,83350
2017-06-14,212582,8740,1290,1228,146,0.534,87631
2017-06-15,205353,9160,1372,1303,179,0.35,91563
2017-06-16,199247,10481,1507,1823,277,0.103,113690
2017-06-17,122391,7116,1084,1358,121,-0.312,68723
2017-06-18,109459,5519,792,930,110,-0.02,59002
2017-06-19,192062,10465,1300,1127,143,0.775,102612
2017-06-20,212972,9705,1245,1125,144,0.9,98305
2017-06-21,220540,9693,1329,1284,196,0.693,96792
2017-06-22,205938,8995,1186,1202,135,0.688,87385
2017-06-23,197777,8987,1287,1173,114,0.648,88199
2017-06-24,128503,7919,970,1166,71,0.528,88273
2017-06-25,107236,6269,732,1034,64,0.292,61870
2017-06-26,171328,8596,1055,1118,136,0.555,82368
2017-06-27,182357,7998,1319,871,151,0.695,77926
2017-06-28,192967,9890,1702,1476,305,0.103,93767
2017-06-29,190110,8707,1556,1192,277,0.249,86633
2017-06-30,189801,8175,1445,1203,245,0.146,87799
2017-07-01,120958,6283,1018,1021,168,0.005,66173
2017-07-02,104361,6035,960,915,134,0.19,60602
2017-07-03,157049,9369,1570,1379,211,0.247,84616
2017-07-04,159185,9147,1329,1093,151,0.795,77784
2017-07-05,178675,9322,1433,1067,152,0.689,77034
2017-07-06,202277,9941,1488,1246,125,0.634,81181
2017-07-07,197366,8314,1250,1219,121,0.404,66507
2017-07-08,130513,6913,1095,1301,136,-0.3,61293
2017-07-09,115017,6679,1011,1146,119,-0.113,64568
2017-07-10,174950,9688,1527,1678,171,-0.091,85835
2017-07-11,194351,11686,2186,2297,228,-0.581,123199
2017-07-12,203266,9374,1623,1788,167,-0.328,95455
2017-07-13,199576,9115,1601,1482,160,0.006,77295
2017-07-14,183146,8731,1343,1315,112,0.193,77645
2017-07-15,116544,7444,1137,1070,107,0.315,62356
2017-07-16,97753,5825,937,844,112,0.152,56075
2017-07-17,167750,9021,1470,1427,167,0.166,78909
2017-07-18,180265,8261,1486,1228,213,0.142,74001
2017-07-19,197040,8829,1621,1262,205,0.036,75563
2017-07-20,187491,8256,1421,981,151,0.47,73366
2017-07-21,181819,8301,1441,1065,121,0.389,76083
2017-07-22,124861,6630,1028,1015,109,0.195,58835
2017-07-23,106850,5394,820,849,75,0.167,52683
2017-07-24,178741,8558,1385,1285,148,0.231,85477
2017-07-25,197536,9321,1348,1259,142,0.595,90212
2017-07-26,195601,9152,1639,1188,106,0.498,84543
2017-07-27,190580,8685,1465,962,140,0.795,83658
2017-07-28,191545,8916,1582,1203,145,0.348,84142
2017-07-29,125763,7036,1297,979,88,0.255,60316
2017-07-30,110236,5771,1036,896,151,0.002,58615
2017-07-31,177609,9222,1840,1207,181,0.171,89544
2017-08-01,193063,9394,1554,1511,213,-0.039,91675
2017-08-02,205978,9496,1462,1502,156,0.149,86548
2017-08-03,196549,8782,1404,1308,163,0.287,77882
2017-08-04,188255,8732,1436,1309,127,0.182,81987
2017-08-05,119471,6893,1182,1178,215,-0.158,63461
2017-08-06,108604,6092,954,1123,136,-0.104,57844
2017-08-07,175521,8026,1331,1089,133,0.264,75617
2017-08-08,187411,8824,1608,1152,176,0.327,90530
2017-08-09,196468,9224,1552,1243,176,0.432,92549
2017-08-10,180764,8615,1381,1175,144,0.418,85524
2017-08-11,173620,9273,1452,1151,132,0.484,94432
2017-08-12,115151,7565,1315,876,103,0.442,70856
2017-08-13,102072,6447,1084,894,91,0.148,66635
2017-08-14,170884,9006,1348,1160,102,0.479,84351
2017-08-15,196530,7925,1121,1014,95,0.362,71265
2017-08-16,201068,8878,1294,1102,123,0.513,82937
2017-08-17,210090,9518,1556,1246,120,0.474,90988
2017-08-18,184592,8318,1381,1041,89,0.515,79357
2017-08-19,129944,7492,1125,920,108,0.611,59607
2017-08-20,106653,5400,820,641,72,0.53,49560
2017-08-21,173284,9018,1323,961,86,0.823,90108
2017-08-22,193528,9380,1486,1139,115,0.657,96222
2017-08-23,209958,9425,1493,975,136,0.839,83565
2017-08-24,200766,8395,1242,941,107,0.788,88143
2017-08-25,186569,7611,1011,1478,113,-0.114,82004
2017-08-26,120743,6771,897,1336,74,-0.171,66358
2017-08-27,103801,5351,804,1074,71,-0.394,51344
2017-08-28,170520,8709,1135,1515,62,0.281,97345
2017-08-29,205602,8238,1219,1191,78,0.506,77696
2017-08-30,208505,8529,1407,1138,73,0.483,78708
2017-08-31,188054,7646,1109,859,74,0.889,70154
2017-09-01,180953,8179,1220,1123,61,0.458,74690
2017-09-02,115610,6719,913,998,103,0.409,58799
2017-09-03,108107,6342,861,819,82,0.71,56259
2017-09-04,149347,7831,1201,1071,164,0.416,70118
2017-09-05,194916,9136,1425,1214,183,0.336,85866
2017-09-06,220380,11433,2091,2153,307,-0.528,125177
2017-09-07,214023,10105,1654,2038,215,-0.403,87718
2017-09-08,202823,9310,1599,1620,215,-0.237,82176
2017-09-09,120650,7365,1117,1327,139,-0.134,70364
2017-09-10,112963,7102,937,1186,74,0.076,66451
2017-09-11,194481,9199,1396,1324,185,0.198,85674
2017-09-12,210913,10939,1624,1601,131,0.358,96190
2017-09-13,219163,10499,1375,1415,151,0.644,91374
2017-09-14,218599,9593,1386,1504,130,0.347,77299
2017-09-15,197735,7997,1231,1231,128,0.163,63590
2017-09-16,128519,6418,977,1022,95,0.127,53060
2017-09-17,113886,5738,778,622,62,0.796,45822
2017-09-18,190296,7952,1227,1320,82,0.01,73806
2017-09-19,217193,8386,1343,1178,102,0.396,69808
2017-09-20,217593,8216,1267,1207,95,0.39,76890
2017-09-21,219481,9556,1439,1530,124,0.207,87099
2017-09-22,195318,8345,1242,1200,93,0.321,73796
2017-09-23,126544,7073,1075,1098,80,0.205,64337
2017-09-24,101785,5501,936,916,110,-0.216,52225
2017-09-25,185307,9151,1550,1317,221,0.232,91848
2017-09-26,196878,9613,1626,1284,171,0.387,93724
2017-09-27,196898,8380,1297,1256,159,0.25,74039
2017-09-28,191613,7677,1117,1126,101,0.418,66193
2017-09-29,181730,6416,844,901,69,0.533,71310
2017-09-30,111629,4838,631,700,57,0.436,41505
