date,placebo_cricket,placebo_entertainment
2022-09-11,0.0332,0.1168
2022-09-12,0.0412,0.0689
2022-09-13,0.0267,0.0597
2022-09-14,0.0433,0.0574
2022-09-15,0.0199,0.0583
2022-09-16,0.0265,0.0577
2022-09-17,0.0454,0.0844
2022-09-18,0.0936,0.0752
2022-09-19,0.0309,0.0502
2022-09-20,0.0363,0.0736
2022-09-21,0.0166,0.0735
2022-09-22,0.0282,0.0553
2022-09-23,0.0303,0.0643
2022-09-24,0.0477,0.0613
2022-09-25,0.0336,0.1055
2022-09-26,0.0416,0.0582
2022-09-27,0.0261,0.0529
2022-09-28,0.0276,0.038
2022-09-29,0.0332,0.0568
2022-09-30,0.0276,0.0709
2022-10-01,0.0437,0.1014
2022-10-02,0.0264,0.0829
2022-10-03,0.0544,0.054
2022-10-04,0.0363,0.0542
2022-10-05,0.0563,0.0473
2022-10-06,0.0496,0.0524
2022-10-07,0.0203,0.0654
2022-10-08,0.0315,0.1126
2022-10-09,0.0279,0.0943
2022-10-10,0.0398,0.0644
2022-10-11,0.0478,0.0931
2022-10-12,0.0394,0.0545
2022-10-13,0.0418,0.0588
2022-10-14,0.0431,0.0574
2022-10-15,0.1013,0.081
2022-10-16,0.0489,0.0775
2022-10-17,0.0449,0.0548
2022-10-18,0.0476,0.0512
2022-10-19,0.0363,0.0605
2022-10-20,0.0622,0.0628
2022-10-21,0.0649,0.0663
2022-10-22,0.1303,0.0941
2022-10-23,0.2967,0.0946
2022-10-24,0.1024,0.0624
2022-10-25,0.0578,0.0479
2022-10-26,0.0634,0.0449
2022-10-27,0.0994,0.0555
2022-10-28,0.0445,0.0742
2022-10-29,0.1155,0.111
2022-10-30,0.1438,0.1037
2022-10-31,0.051,0.0886
2022-11-01,0.0708,0.0811
2022-11-02,0.0916,0.0737
2022-11-03,0.0661,0.0494
2022-11-04,0.0487,0.0469
2022-11-05,0.1523,0.106
2022-11-06,0.2453,0.0798
2022-11-07,0.0892,0.0619
2022-11-08,0.0789,0.0708
2022-11-09,0.1173,0.0464
2022-11-10,0.1738,0.071
2022-11-11,0.0718,0.0172
2022-11-12,0.1025,0.0813
2022-11-13,0.1181,0.0781
