channel,query_month,rank,analog_month,distance,n_features_used,features_used,features_excluded_as_null
pakistan_west,1981-04,5,1984-05,0.103021,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-05,1,1983-07,0.033377,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-05,2,1982-03,0.041227,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-05,3,1983-06,0.041229,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-05,4,1982-05,0.041358,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-05,5,1983-05,0.042278,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-06,1,1982-02,0.005949,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-06,2,2015-03,0.033859,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-06,3,1984-05,0.053702,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-06,4,2015-08,0.054963,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-06,5,2015-01,0.066252,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-07,1,2017-09,0.050654,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-07,2,2017-08,0.068054,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-07,3,1997-01,0.078652,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-07,4,2015-12,0.091991,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-07,5,1994-10,0.108513,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-08,1,1992-07,0.061206,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-08,2,1994-05,0.065206,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-08,3,2016-08,0.081914,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-08,4,1994-10,0.127857,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-08,5,2011-12,0.160855,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-09,1,2011-06,0.036642,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-09,2,2016-08,0.088038,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-09,3,2018-04,0.12753,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-09,4,1994-05,0.15264,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-09,5,1994-04,0.15292,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-10,1,2018-08,0.123852,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-10,2,2018-01,0.124311,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-10,3,2008-03,0.127553,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-10,4,2018-09,0.129583,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-10,5,1997-02,0.139299,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-11,1,1994-09,0.06539,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-11,2,2016-09,0.077251,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-11,3,2016-02,0.137799,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-11,4,1994-07,0.151419,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-11,5,2011-07,0.163221,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-12,1,1994-12,0.084209,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-12,2,1997-02,0.087407,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-12,3,1994-04,0.136414,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-12,4,2016-03,0.140283,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1981-12,5,2016-05,0.166101,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-01,1,2006-07,0.052694,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-01,2,2019-02,0.059221,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-01,3,1984-01,0.098946,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-01,4,2013-05,0.133892,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-01,5,1980-01,0.23529,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-02,1,1981-06,0.005949,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-02,2,2015-03,0.030047,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-02,3,2015-08,0.053907,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-02,4,1984-05,0.058123,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-02,5,1981-04,0.060793,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-03,1,2015-09,0.038111,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
pakistan_west,1982-03,2,1991-03,0.040432,2,change_12m_raw_share|volatility_12m_raw_share,level_pctl_10y
